year,constituency,constituency_type,n_member,candidate,party,party_name,votes,votes_perc,rank,result
1955,Bukit Panjang,SMC,1,Goh Tong Liang,PP,Progressive Party,3097,72.21,1,won
1955,Bukit Panjang,SMC,1,Lim Wee Toh,SLF,Singapore Labour Front,1192,27.79,2,lost
1955,Bukit Timah,SMC,1,Lim Ching Siong,PAP,People's Action Party,3259,52.45,1,won
1955,Bukit Timah,SMC,1,Tan Wah Meng,DP,Democratic Party,1308,21.05,2,lost
1955,Bukit Timah,SMC,1,A. N. Mitra,SLF,Singapore Labour Front,924,14.87,3,lost
1955,Bukit Timah,SMC,1,S. F. Ho,PP,Progressive Party,722,11.62,4,lost_deposit
1955,Cairnhill,SMC,1,David Marshall,SLF,Singapore Labour Front,3305,47.58,1,won
1955,Cairnhill,SMC,1,C. C. Tan,PP,Progressive Party,2530,36.42,2,lost
1955,Cairnhill,SMC,1,Tan Khiang Khoo,DP,Democratic Party,1111,15.99,3,lost
1955,Changi,SMC,1,C. K. Lim,DP,Democratic Party,2624,45.08,1,won
1955,Changi,SMC,1,S. G. Mohamed Ghows,PP,Progressive Party,1699,29.19,2,lost
1955,Changi,SMC,1,Wong Sau Sheung,SLF,Singapore Labour Front,1498,25.73,3,lost
1955,Farrer Park,SMC,1,A. R. Lazarous,SLF,Singapore Labour Front,2585,38.52,1,won
1955,Farrer Park,SMC,1,Devan Nair,PAP,People's Action Party,2219,33.07,2,lost
1955,Farrer Park,SMC,1,Eric S. B. Wee,PP,Progressive Party,1784,26.59,3,lost
1955,Farrer Park,SMC,1,C. T. B. Unnithan,Independent,,85,1.27,4,lost_deposit
1955,Farrer Park,SMC,1,Chua Kim Watt,Independent,,37,0.55,5,lost_deposit
1955,Geylang,SMC,1,Mak Pak Shee,SLF,Singapore Labour Front,2756,41.18,1,won
1955,Geylang,SMC,1,Goh Hood Kiat,Independent,,1386,20.71,2,lost
1955,Geylang,SMC,1,Lee Yong Min,LP,Labour Party,1325,19.8,3,lost
1955,Geylang,SMC,1,Lam Joon Chong,DP,Democratic Party,1226,18.32,4,lost
1955,Havelock,SMC,1,Lim Yew Hock,SLF,Singapore Labour Front,5744,86.48,1,won
1955,Havelock,SMC,1,C. S. Soh,Independent,,525,7.9,2,lost_deposit
1955,Havelock,SMC,1,Chua Bock Kwee,PP,Progressive Party,373,5.62,3,lost_deposit
1955,Kampong Kapor,SMC,1,Seah Peng Chuan,SLF,Singapore Labour Front,3253,45.6,1,won
1955,Kampong Kapor,SMC,1,Dasaratha Raj,Independent,,2155,30.21,2,lost
1955,Kampong Kapor,SMC,1,Wong Shian Yein,DP,Democratic Party,1283,17.98,3,lost
1955,Kampong Kapor,SMC,1,Lim Kian Lee,PP,Progressive Party,443,6.21,4,lost_deposit
1955,Katong,SMC,1,A. J. Braga,SLF,Singapore Labour Front,4680,45.66,1,won
1955,Katong,SMC,1,John Laycock,PP,Progressive Party,2965,28.93,2,lost
1955,Katong,SMC,1,Chan Wah Chip,DP,Democratic Party,2605,25.41,3,lost
1955,Pasir Panjang,SMC,1,Wong Foo Nam,SA,Singapore Alliance,3546,45.17,1,won
1955,Pasir Panjang,SMC,1,K. M. S. Hamid,PP,Progressive Party,2370,30.19,2,lost
1955,Pasir Panjang,SMC,1,P. V. Krishnan,SLF,Singapore Labour Front,1306,16.63,3,lost
1955,Pasir Panjang,SMC,1,Leong Foon Chew,DP,Democratic Party,629,8.01,4,lost_deposit
1955,Paya Lebar,SMC,1,Lim Koon Teck,PP,Progressive Party,3330,52.07,1,won
1955,Paya Lebar,SMC,1,Tan Eng Joo,DP,Democratic Party,3065,47.93,2,lost
1955,Punggol-Tampines,SMC,1,Goh Chew Chua,PAP,People's Action Party,2127,55.38,1,won
1955,Punggol-Tampines,SMC,1,Anthony Goh,DP,Democratic Party,918,23.9,2,lost
1955,Punggol-Tampines,SMC,1,H. A. De Silva,PP,Progressive Party,796,20.72,3,lost
1955,Queenstown,SMC,1,Lee Choon Eng,SLF,Singapore Labour Front,2792,67.28,1,won
1955,Queenstown,SMC,1,Murray Brash,DP,Democratic Party,736,17.73,2,lost
1955,Queenstown,SMC,1,Elizabeth Choy,PP,Progressive Party,622,14.99,3,lost
1955,Rochore,SMC,1,Tan Theng Chiang,SLF,Singapore Labour Front,2929,46.25,1,won
1955,Rochore,SMC,1,Ong Eng Lian,DP,Democratic Party,1897,29.95,2,lost
1955,Rochore,SMC,1,Soh Ghee Soon,PP,Progressive Party,1507,23.8,3,lost
1955,Seletar,SMC,1,M. P. D. Nair,Independent,,1771,31.83,1,won
1955,Seletar,SMC,1,Lek Poh Song,Independent,,1632,29.33,2,lost
1955,Seletar,SMC,1,Tan Leong Teck,DP,Democratic Party,1252,22.5,3,lost
1955,Seletar,SMC,1,P. G. Khew,SLF,Singapore Labour Front,909,16.34,4,lost
1955,Sembawang,SMC,1,Ahmad Ibrahim,Independent,,4281,63.24,1,won
1955,Sembawang,SMC,1,Lee Kim Kee,PP,Progressive Party,2488,36.76,2,lost
1955,Serangoon,SMC,1,Lim Choon Mong,PP,Progressive Party,2172,45.83,1,won
1955,Serangoon,SMC,1,Lim Chye Seng,DP,Democratic Party,1412,29.8,2,lost
1955,Serangoon,SMC,1,Lim Siew Ek,SA,Singapore Alliance,1155,24.37,3,lost
1955,Southern Islands,SMC,1,Mohamed Sidik bin H. A. Hamid,SA,Singapore Alliance,1233,50.57,1,won
1955,Southern Islands,SMC,1,"Kulasingha, H. J. C.",PP,Progressive Party,1205,49.43,2,lost
1955,Stamford,SMC,1,J. M. Jumabhoy,SLF,Singapore Labour Front,2691,43.08,1,won
1955,Stamford,SMC,1,Simon,Independent,,1281,20.51,2,lost
1955,Stamford,SMC,1,Nazir Mallal,PP,Progressive Party,1153,18.46,3,lost
1955,Stamford,SMC,1,Ng Sen Choy,DP,Democratic Party,1121,17.95,4,lost
1955,Tanglin,SMC,1,John Ede,PP,Progressive Party,3214,45.67,1,won
1955,Tanglin,SMC,1,Lim Yong Bock,DP,Democratic Party,2501,35.54,2,lost
1955,Tanglin,SMC,1,Lim Seow Chuan,SLF,Singapore Labour Front,1322,18.79,3,lost
1955,Tanjong Pagar,SMC,1,Lee Kuan Yew,PAP,People's Action Party,6029,78.33,1,won
1955,Tanjong Pagar,SMC,1,Lim Seck Tiong,PP,Progressive Party,908,11.8,2,lost_deposit
1955,Tanjong Pagar,SMC,1,Lam Thian,DP,Democratic Party,760,9.87,3,lost_deposit
1955,Telok Ayer,SMC,1,"Jumabhoy, R.",Independent,,1945,39.9,1,won
1955,Telok Ayer,SMC,1,Sng Siak Hwee,DP,Democratic Party,1477,30.3,2,lost
1955,Telok Ayer,SMC,1,Tan Ewe Chee,SLF,Singapore Labour Front,1453,29.81,3,lost
1955,Tiong Bahru,SMC,1,William Tan,DP,Democratic Party,2264,38.6,1,won
1955,Tiong Bahru,SMC,1,Foo Few Ting,PP,Progressive Party,2100,35.8,2,lost
1955,Tiong Bahru,SMC,1,Teo Seng Bee,SA,Singapore Alliance,1502,25.61,3,lost
1955,Ulu Bedok,SMC,1,Abdul Hamid bin Jumat,SA,Singapore Alliance,5721,61.04,1,won
1955,Ulu Bedok,SMC,1,Toh Seng Sit,DP,Democratic Party,2999,32.0,2,lost
1955,Ulu Bedok,SMC,1,A. Hamid Rahmat,PP,Progressive Party,652,6.96,3,lost_deposit
1955,Whampoa,SMC,1,Chew Swee Kee,SLF,Singapore Labour Front,2961,45.89,1,won
1955,Whampoa,SMC,1,Thio Chan Bee,PP,Progressive Party,2565,39.75,2,lost
1955,Whampoa,SMC,1,Lee Kok Liang,DP,Democratic Party,927,14.37,3,lost
1959,Aljunied,SMC,1,S. V. Lingam,PAP,People's Action Party,5701,49.4,1,won
1959,Aljunied,SMC,1,E. H. Holloway,LSP,Liberal Socialist Party,5004,43.36,2,lost
1959,Aljunied,SMC,1,Tang Yoong Chiaw,PRSSD,"Partai Rakyat, Singapore State Division",835,7.24,3,lost_deposit
1959,Anson,SMC,1,Baharudin bin Mohamed Ariff,PAP,People's Action Party,5167,60.75,1,won
1959,Anson,SMC,1,Goh Kong Beng,SPA,Singapore People's Alliance,1875,22.04,2,lost
1959,Anson,SMC,1,Tan Cheng Chuan,LSP,Liberal Socialist Party,1231,14.47,3,lost
1959,Anson,SMC,1,Wong Swee Kee,Independent,,117,1.38,4,lost_deposit
1959,Anson,SMC,1,P. Krishanan,Independent,,116,1.36,5,lost_deposit
1959,Bras Basah,SMC,1,Hoe Puay Choo,PAP,People's Action Party,6014,63.25,1,won
1959,Bras Basah,SMC,1,Foo Ho Fang,LSP,Liberal Socialist Party,1993,20.96,2,lost
1959,Bras Basah,SMC,1,Goh Hin Shong,SPA,Singapore People's Alliance,1501,15.79,3,lost
1959,Bukit Merah,SMC,1,Sellappa Ramaswamy,PAP,People's Action Party,5922,59.1,1,won
1959,Bukit Merah,SMC,1,Teo Cheng Hye,SPA,Singapore People's Alliance,3026,30.2,2,lost
1959,Bukit Merah,SMC,1,Lee Choon Eng,Independent,,1073,10.71,3,lost_deposit
1959,Bukit Panjang,SMC,1,Lee Khoon Choy,PAP,People's Action Party,6156,58.31,1,won
1959,Bukit Panjang,SMC,1,Tan Leong Teck,LSP,Liberal Socialist Party,2494,23.62,2,lost
1959,Bukit Panjang,SMC,1,Lim Siak Guan,SPA,Singapore People's Alliance,1382,13.09,3,lost
1959,Bukit Panjang,SMC,1,T. K. Alexander,Independent,,526,4.98,4,lost_deposit
1959,Bukit Timah,SMC,1,Yaacob bin Mohamed,PAP,People's Action Party,6174,61.14,1,won
1959,Bukit Timah,SMC,1,Pek Cheng Chuan,LSP,Liberal Socialist Party,2460,24.36,2,lost
1959,Bukit Timah,SMC,1,Lee Yew Seng,Independent,,1464,14.5,3,lost
1959,Cairnhill,SMC,1,Lim Yew Hock,SPA,Singapore People's Alliance,5275,48.22,1,won
1959,Cairnhill,SMC,1,David Marshall,WP,Workers' Party,2920,26.69,2,lost
1959,Cairnhill,SMC,1,Md. Oh Su Chen,PAP,People's Action Party,2262,20.68,3,lost
1959,Cairnhill,SMC,1,Tan Keng Siong,LSP,Liberal Socialist Party,483,4.41,4,lost_deposit
1959,Changi,SMC,1,Teo Hock Guan,PAP,People's Action Party,3480,35.11,1,won
1959,Changi,SMC,1,A. B. Rahman H. M. Said,PKMS,Pertubuhan Kebangsaan Melayu Singapura,2818,28.43,2,lost
1959,Changi,SMC,1,Lim Cher Kheng,Independent,,2225,22.45,3,lost
1959,Changi,SMC,1,Wee Tin Teck,LSP,Liberal Socialist Party,1024,10.33,4,lost_deposit
1959,Changi,SMC,1,Fatimah Nor Bt. G. S.,Independent,,366,3.69,5,lost_deposit
1959,Choa Chu Kang,SMC,1,Ong Chang Sam,PAP,People's Action Party,3536,56.29,1,won
1959,Choa Chu Kang,SMC,1,Neo Koon Hin,Independent,,1563,24.88,2,lost
1959,Choa Chu Kang,SMC,1,Goh Tong Liang,SPA,Singapore People's Alliance,1183,18.83,3,lost
1959,Crawford,SMC,1,K. M. Byrne,PAP,People's Action Party,7120,66.57,1,won
1959,Crawford,SMC,1,Teng Ling Siong,SPA,Singapore People's Alliance,2487,23.25,2,lost
1959,Crawford,SMC,1,Chua Seng Kian,LSP,Liberal Socialist Party,897,8.39,3,lost_deposit
1959,Crawford,SMC,1,Sim John,Independent,,191,1.79,4,lost_deposit
1959,Delta,SMC,1,Chan Choy Sun,PAP,People's Action Party,9301,69.45,1,won
1959,Delta,SMC,1,Lim Ah Lee,LSP,Liberal Socialist Party,2308,17.23,2,lost
1959,Delta,SMC,1,Chia Chee Buang,PKMS,Pertubuhan Kebangsaan Melayu Singapura,1212,9.05,3,lost_deposit
1959,Delta,SMC,1,Munusamy Nadarajah,SPA,Singapore People's Alliance,571,4.26,4,lost_deposit
1959,Farrer Park,SMC,1,A. P. Rajah,Independent,,4077,44.53,1,won
1959,Farrer Park,SMC,1,Tan Teck Ngiap alias Chen Ta-Ren,PAP,People's Action Party,3832,41.85,2,lost
1959,Farrer Park,SMC,1,Soo-Tho Sin Hee,Independent,,789,8.62,3,lost_deposit
1959,Farrer Park,SMC,1,Chan Kooi Chew,Independent,,311,3.4,4,lost_deposit
1959,Farrer Park,SMC,1,Joseph A.,Independent,,147,1.61,5,lost_deposit
1959,Geylang East,SMC,1,Mohamed Ismail bin Abdul Rahim,PAP,People's Action Party,7153,51.95,1,won
1959,Geylang East,SMC,1,Ng Cheng Chwee,SPA,Singapore People's Alliance,5775,41.94,2,lost
1959,Geylang East,SMC,1,Mak Pak Shee,Independent,,842,6.11,3,lost_deposit
1959,Geylang Serai,SMC,1,Abdul Hamid bin Haji Jumat,PKMS,Pertubuhan Kebangsaan Melayu Singapura,7940,63.09,1,won
1959,Geylang Serai,SMC,1,Roshan bin Hassan,PAP,People's Action Party,3832,30.45,2,lost
1959,Geylang Serai,SMC,1,Syed Ahmad Dahlan,PMIP,Pan Malayan Islamic Party,460,3.66,3,lost_deposit
1959,Geylang Serai,SMC,1,Harun bin Mohamed Amin,PRSSD,"Partai Rakyat, Singapore State Division",353,2.8,4,lost_deposit
1959,Geylang West,SMC,1,Yong Nyuk Lin,PAP,People's Action Party,8923,67.6,1,won
1959,Geylang West,SMC,1,Kwek Sam Hock,SPA,Singapore People's Alliance,4276,32.4,2,lost
1959,Havelock,SMC,1,Lau Peter,PAP,People's Action Party,9227,63.6,1,won
1959,Havelock,SMC,1,Ng See Thong,Independent,,3562,24.55,2,lost
1959,Havelock,SMC,1,Tan Theng Chiang,SPA,Singapore People's Alliance,963,6.64,3,lost_deposit
1959,Havelock,SMC,1,K. S. Loke,PKMS,Pertubuhan Kebangsaan Melayu Singapura,433,2.98,4,lost_deposit
1959,Havelock,SMC,1,Tan Ah Pak,LSP,Liberal Socialist Party,323,2.23,5,lost_deposit
1959,Hong Lim,SMC,1,Ong Eng Guan,PAP,People's Action Party,8834,77.02,1,won
1959,Hong Lim,SMC,1,Loh Ngian Lim,PKMS,Pertubuhan Kebangsaan Melayu Singapura,1192,10.39,2,lost_deposit
1959,Hong Lim,SMC,1,Tan Hong Chye,LSP,Liberal Socialist Party,856,7.46,3,lost_deposit
1959,Hong Lim,SMC,1,Sim Wee Teck,SPA,Singapore People's Alliance,588,5.13,4,lost_deposit
1959,Jalan Besar,SMC,1,Chan Chee Seng,PAP,People's Action Party,7600,62.48,1,won
1959,Jalan Besar,SMC,1,Wong Yew Hon,SPA,Singapore People's Alliance,2573,21.15,2,lost
1959,Jalan Besar,SMC,1,Lo Ka Fat,LSP,Liberal Socialist Party,1488,12.23,3,lost_deposit
1959,Jalan Besar,SMC,1,See Eng Kiat,SLF,Singapore Labour Front,503,4.14,4,lost_deposit
1959,Jalan Kayu,SMC,1,Tan Cheng Tong,PAP,People's Action Party,4837,62.28,1,won
1959,Jalan Kayu,SMC,1,M. P. D. Nair,SPA,Singapore People's Alliance,2929,37.72,2,lost
1959,Joo Chiat,SMC,1,C. H. Koh,SPA,Singapore People's Alliance,6136,45.87,1,won
1959,Joo Chiat,SMC,1,Fong Kim Heng,PAP,People's Action Party,5301,39.63,2,lost
1959,Joo Chiat,SMC,1,Gay Wan Guay,LSP,Liberal Socialist Party,1215,9.08,3,lost_deposit
1959,Joo Chiat,SMC,1,Low Teck Cheng,KURA,Katong United Residents Association,405,3.03,4,lost_deposit
1959,Joo Chiat,SMC,1,Henry Chong,Independent,,320,2.39,5,lost_deposit
1959,Jurong,SMC,1,Chor Yeok Eng,PAP,People's Action Party,4502,70.68,1,won
1959,Jurong,SMC,1,Wong Tuck Leong,SPA,Singapore People's Alliance,1325,20.8,2,lost
1959,Jurong,SMC,1,Chia Yeck Poh,LSP,Liberal Socialist Party,375,5.89,3,lost_deposit
1959,Jurong,SMC,1,Aman B. H. Subri,Independent,,168,2.64,4,lost_deposit
1959,Kallang,SMC,1,Buang bin Omar Junid,PAP,People's Action Party,5690,48.18,1,won
1959,Kallang,SMC,1,Tan Hai Tong,SPA,Singapore People's Alliance,4967,42.05,2,lost
1959,Kallang,SMC,1,Seah Peng Chuan,CP,Citizens' Party,1154,9.77,3,lost_deposit
1959,Kampong Glam,SMC,1,S. Rajaratnam,PAP,People's Action Party,6324,65.27,1,won
1959,Kampong Glam,SMC,1,Mahmood Latiff,SPA,Singapore People's Alliance,1747,18.03,2,lost
1959,Kampong Glam,SMC,1,Ong Eng Lian,LSP,Liberal Socialist Party,1377,14.21,3,lost
1959,Kampong Glam,SMC,1,Wu Shiaw,Independent,,241,2.49,4,lost_deposit
1959,Kampong Kapor,SMC,1,G. Kandasamy,PAP,People's Action Party,6059,54.27,1,won
1959,Kampong Kapor,SMC,1,Chia Ban Wei,SPA,Singapore People's Alliance,3632,32.53,2,lost
1959,Kampong Kapor,SMC,1,Jaganathan S,Independent,,711,6.37,3,lost_deposit
1959,Kampong Kapor,SMC,1,Choo Yeok Koon,Independent,,432,3.87,4,lost_deposit
1959,Kampong Kapor,SMC,1,Yen Jen San,CP,Citizens' Party,330,2.96,5,lost_deposit
1959,Kampong Kembangan,SMC,1,Mohd. Ali b. Alwi,PKMS,Pertubuhan Kebangsaan Melayu Singapura,4443,38.86,1,won
1959,Kampong Kembangan,SMC,1,Othman b. Wok,PAP,People's Action Party,4199,36.73,2,lost
1959,Kampong Kembangan,SMC,1,Mohd. b. Hj. Yacob,SPA,Singapore People's Alliance,2028,17.74,3,lost
1959,Kampong Kembangan,SMC,1,H. M. Yahiya,PMIP,Pan Malayan Islamic Party,317,2.77,4,lost_deposit
