year,constituency,constituency_type,n_member,n_candidates,electors,votes_valid,majority,votes_rejected,ballots_spoiled,voter_turnout,majority_perc,votes_rejected_perc
1955,Bukit Panjang,SMC,1,2,8012,4289,1905,66,7,54.36,44.42,1.52
1955,Bukit Timah,SMC,1,4,9173,6213,1951,59,8,68.37,31.4,0.94
1955,Cairnhill,SMC,1,3,13528,6946,775,65,12,51.83,11.16,0.93
1955,Changi,SMC,1,3,11239,5821,925,70,6,52.42,15.89,1.19
1955,Farrer Park,SMC,1,5,12242,6710,366,93,14,55.57,5.45,1.37
1955,Geylang,SMC,1,4,16604,6693,1370,88,16,40.84,20.47,1.3
1955,Havelock,SMC,1,3,12835,6642,5219,61,7,52.22,78.58,0.91
1955,Kampong Kapor,SMC,1,4,13815,7134,1098,144,4,52.68,15.39,1.98
1955,Katong,SMC,1,3,22196,10250,1715,120,14,46.72,16.73,1.16
1955,Pasir Panjang,SMC,1,4,13812,7851,1176,60,6,57.28,14.98,0.76
1955,Paya Lebar,SMC,1,2,12827,6395,265,99,8,50.63,4.14,1.52
1955,Punggol-Tampines,SMC,1,3,6628,3841,1209,45,4,58.63,31.48,1.16
1955,Queenstown,SMC,1,3,7015,4150,2056,51,3,59.89,49.54,1.21
1955,Rochore,SMC,1,3,12073,6333,1032,81,3,53.13,16.3,1.26
1955,Seletar,SMC,1,4,9402,5564,139,56,4,59.77,2.5,1.0
1955,Sembawang,SMC,1,2,10675,6769,1793,66,25,64.03,26.49,0.97
1955,Serangoon,SMC,1,3,8402,4739,760,53,5,57.03,16.04,1.11
1955,Southern Islands,SMC,1,2,3548,2438,28,38,4,69.79,1.15,1.53
1955,Stamford,SMC,1,4,13207,6246,1410,76,10,47.87,22.57,1.2
1955,Tanglin,SMC,1,3,16177,7037,713,88,8,44.04,10.13,1.24
1955,Tanjong Pagar,SMC,1,3,13430,7697,5121,40,5,57.61,66.53,0.52
1955,Telok Ayer,SMC,1,3,11547,4875,468,76,4,42.88,9.6,1.54
1955,Tiong Bahru,SMC,1,3,12664,5866,164,73,6,46.9,2.8,1.23
1955,Ulu Bedok,SMC,1,3,16903,9372,2722,92,18,55.99,29.04,0.97
1955,Whampoa,SMC,1,3,12345,6453,396,70,14,52.84,6.14,1.07
1959,Aljunied,SMC,1,3,13255,11540,697,173,7,88.37,6.04,1.48
1959,Anson,SMC,1,5,9921,8506,3292,102,3,86.77,38.7,1.18
1959,Bras Basah,SMC,1,3,11193,9508,4021,114,7,85.96,42.29,1.18
